Categoría: Todas las categorías

Semana,compras: (Todo el mundo),desempleo: (Todo el mundo)
2015-06-21,82,13
2015-06-28,86,15
2015-07-05,80,14
2015-07-12,84,13
2015-07-19,83,12
2015-07-26,83,13
2015-08-02,79,13
2015-08-09,77,13
2015-08-16,80,13
2015-08-23,79,13
2015-08-30,81,15
2015-09-06,74,15
2015-09-13,75,14
2015-09-20,78,15
2015-09-27,76,16
2015-10-04,73,16
2015-10-11,74,15
2015-10-18,74,16
2015-10-25,74,16
2015-11-01,73,16
2015-11-08,79,17
2015-11-15,76,16
2015-11-22,88,14
2015-11-29,79,14
2015-12-06,72,11
2015-12-13,76,12
2015-12-20,64,8
2015-12-27,61,7
2016-01-03,67,11
2016-01-10,67,13
2016-01-17,66,14
2016-01-24,66,13
2016-01-31,65,14
2016-02-07,61,14
2016-02-14,67,14
2016-02-21,66,14
2016-02-28,68,15
2016-03-06,69,14
2016-03-13,72,14
2016-03-20,60,8
2016-03-27,68,14
2016-04-03,67,15
2016-04-10,69,17
2016-04-17,66,17
2016-04-24,68,17
2016-05-01,70,19
2016-05-08,71,16
2016-05-15,74,18
2016-05-22,70,18
2016-05-29,79,17
2016-06-05,70,15
2016-06-12,68,14
2016-06-19,69,14
2016-06-26,71,14
2016-07-03,74,14
2016-07-10,73,12
2016-07-17,76,12
2016-07-24,80,12
2016-07-31,72,13
2016-08-07,68,11
2016-08-14,66,11
2016-08-21,71,12
2016-08-28,72,14
2016-09-04,71,14
2016-09-11,71,13
2016-09-18,69,14
2016-09-25,70,15
2016-10-02,70,15
2016-10-09,69,14
2016-10-16,72,14
2016-10-23,73,14
2016-10-30,68,13
2016-11-06,71,15
2016-11-13,73,16
2016-11-20,80,14
2016-11-27,71,15
2016-12-04,68,11
2016-12-11,68,11
2016-12-18,61,8
2016-12-25,56,7
2017-01-01,58,9
2017-01-08,65,11
2017-01-15,67,13
2017-01-22,66,13
2017-01-29,67,14
2017-02-05,65,14
2017-02-12,64,14
2017-02-19,64,14
2017-02-26,62,13
2017-03-05,67,14
2017-03-12,69,14
2017-03-19,67,14
2017-03-26,70,15
2017-04-02,65,14
2017-04-09,58,8
2017-04-16,68,13
2017-04-23,68,15
2017-04-30,65,14
